,brief,full
REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R,SHC-related events triggered by IGF1R, 
REACTOME_SIALIC_ACID_METABOLISM,Sialic acid metabolism, 
REACTOME_SIGNAL_AMPLIFICATION,Signal amplification, 
REACTOME_SIGNAL_ATTENUATION,Signal attenuation, 
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,Signal regulatory protein family interactions, 
REACTOME_SIGNAL_TRANSDUCTION_BY_L1,Signal transduction by L1, 
REACTOME_SIGNALING_BY_ACTIVIN,Signaling by Activin, 
REACTOME_SIGNALING_BY_ALK,Signaling by ALK, 
REACTOME_SIGNALING_BY_ALK_IN_CANCER,Signaling by ALK in cancer, 
REACTOME_SIGNALING_BY_BMP,Signaling by BMP, 
REACTOME_SIGNALING_BY_BRAF_AND_RAF1_FUSIONS,Signaling by BRAF and RAF1 fusions, 
REACTOME_SIGNALING_BY_CSF3_G_CSF,Signaling by CSF3 (G-CSF), 
REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS,Signaling by CTNNB1 phospho-site mutants, 
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS,Signaling by cytosolic FGFR1 fusion mutants, 
REACTOME_SIGNALING_BY_EGFR,Signaling by EGFR, 
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,Signaling by EGFR in Cancer, 
REACTOME_SIGNALING_BY_ERBB2,Signaling by ERBB2, 
REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS,Signaling by ERBB2 ECD mutants, 
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,Signaling by ERBB2 in Cancer, 
REACTOME_SIGNALING_BY_ERBB4,Signaling by ERBB4, 
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,Signaling by Erythropoietin, 
REACTOME_SIGNALING_BY_FGFR,Signaling by FGFR, 
REACTOME_SIGNALING_BY_FGFR1,Signaling by FGFR1, 
REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE,Signaling by FGFR1 in disease, 
REACTOME_SIGNALING_BY_FGFR2,Signaling by FGFR2, 
REACTOME_SIGNALING_BY_FGFR2_IIIA_TM,Signaling by FGFR2 IIIa TM, 
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE,Signaling by FGFR2 in disease, 
REACTOME_SIGNALING_BY_FGFR3,Signaling by FGFR3, 
REACTOME_SIGNALING_BY_FGFR4,Signaling by FGFR4, 
REACTOME_SIGNALING_BY_FGFR4_IN_DISEASE,Signaling by FGFR4 in disease, 
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE,Signaling by FGFR in disease, 
REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS,Signaling by FLT3 fusion proteins, 
REACTOME_SIGNALING_BY_FLT3_ITD_AND_TKD_MUTANTS,Signaling by FLT3 ITD and TKD mutants, 
REACTOME_SIGNALING_BY_GPCR,Signaling by GPCR, 
REACTOME_SIGNALING_BY_HEDGEHOG,Signaling by Hedgehog, 
REACTOME_SIGNALING_BY_HIPPO,Signaling by Hippo, 
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR,Signaling by Insulin receptor, 
REACTOME_SIGNALING_BY_INTERLEUKINS,Signaling by Interleukins, 
REACTOME_SIGNALING_BY_KIT_IN_DISEASE,Signaling by KIT in disease, 
REACTOME_SIGNALING_BY_LEPTIN,Signaling by Leptin, 
REACTOME_SIGNALING_BY_LRP5_MUTANTS,Signaling by LRP5 mutants, 
REACTOME_SIGNALING_BY_MAPK_MUTANTS,Signaling by MAPK mutants, 
REACTOME_SIGNALING_BY_MEMBRANE_TETHERED_FUSIONS_OF_PDGFRA_OR_PDGFRB,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB, 
REACTOME_SIGNALING_BY_MET,Signaling by MET, 
REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS,Signaling by moderate kinase activity BRAF mutants, 
REACTOME_SIGNALING_BY_MRAS_COMPLEX_MUTANTS,Signaling by MRAS-complex mutants, 
REACTOME_SIGNALING_BY_MST1,Signaling by MST1, 
REACTOME_SIGNALING_BY_NODAL,Signaling by NODAL, 
REACTOME_SIGNALING_BY_NOTCH,Signaling by NOTCH, 
REACTOME_SIGNALING_BY_NOTCH1,Signaling by NOTCH1, 
REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER,Signaling by NOTCH1 HD Domain Mutants in Cancer, 
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER,Signaling by NOTCH1 PEST Domain Mutants in Cancer, 
REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1_M1580_K2555_TRANSLOCATION_MUTANT,Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant, 
REACTOME_SIGNALING_BY_NOTCH2,Signaling by NOTCH2, 
REACTOME_SIGNALING_BY_NOTCH3,Signaling by NOTCH3, 
REACTOME_SIGNALING_BY_NOTCH4,Signaling by NOTCH4, 
REACTOME_SIGNALING_BY_NTRK2_TRKB,Signaling by NTRK2 (TRKB), 
REACTOME_SIGNALING_BY_NTRK3_TRKC,Signaling by NTRK3 (TRKC), 
REACTOME_SIGNALING_BY_NTRKS,Signaling by NTRKs, 
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,Signaling by Nuclear Receptors, 
REACTOME_SIGNALING_BY_PDGF,Signaling by PDGF, 
REACTOME_SIGNALING_BY_PDGFR_IN_DISEASE,Signaling by PDGFR in disease, 
REACTOME_SIGNALING_BY_PDGFRA_TRANSMEMBRANE_JUXTAMEMBRANE_AND_KINASE_DOMAIN_MUTANTS,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants", 
REACTOME_SIGNALING_BY_PTK6,Signaling by PTK6, 
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,Signaling by Receptor Tyrosine Kinases, 
REACTOME_SIGNALING_BY_RETINOIC_ACID,Signaling by Retinoic Acid, 
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3", 
REACTOME_SIGNALING_BY_RNF43_MUTANTS,Signaling by RNF43 mutants, 
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Signaling by ROBO receptors, 
REACTOME_SIGNALING_BY_SCF_KIT,Signaling by SCF-KIT, 
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,Signaling by TGF-beta Receptor Complex, 
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER,Signaling by TGF-beta Receptor Complex in Cancer, 
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,Signaling by TGFB family members, 
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,Signaling by the B Cell Receptor (BCR), 
REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R), 
REACTOME_SIGNALING_BY_VEGF,Signaling by VEGF, 
REACTOME_SIGNALING_BY_WNT,Signaling by WNT, 
REACTOME_SIGNALING_BY_WNT_IN_CANCER,Signaling by WNT in cancer, 
REACTOME_SIGNALLING_TO_ERKS,Signalling to ERKs, 
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN,Signalling to p38 via RIT and RIN, 
REACTOME_SIGNALLING_TO_RAS,Signalling to RAS, 
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,SIRT1 negatively regulates rRNA expression, 
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs, 
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,SLC-mediated transmembrane transport, 
REACTOME_SLC_TRANSPORTER_DISORDERS,SLC transporter disorders, 
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE,"SMAC, XIAP-regulated apoptotic response", 
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription, 
REACTOME_SMALL_INTERFERING_RNA_SIRNA_BIOGENESIS,Small interfering RNA (siRNA) biogenesis, 
REACTOME_SMOOTH_MUSCLE_CONTRACTION,Smooth Muscle Contraction, 
REACTOME_SNRNP_ASSEMBLY,snRNP Assembly, 
REACTOME_SODIUM_CALCIUM_EXCHANGERS,Sodium/Calcium exchangers, 
REACTOME_SODIUM_COUPLED_PHOSPHATE_COTRANSPORTERS,Sodium-coupled phosphate cotransporters, 
REACTOME_SODIUM_COUPLED_SULPHATE_DI_AND_TRI_CARBOXYLATE_TRANSPORTERS,"Sodium-coupled sulphate, di- and tri-carboxylate transporters", 
REACTOME_SODIUM_PROTON_EXCHANGERS,Sodium/Proton exchangers, 
REACTOME_SOS_MEDIATED_SIGNALLING,SOS-mediated signalling, 
REACTOME_SPERM_MOTILITY_AND_TAXES,Sperm Motility And Taxes, 
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,Sphingolipid de novo biosynthesis, 
REACTOME_SPHINGOLIPID_METABOLISM,Sphingolipid metabolism, 
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,Spry regulation of FGF signaling, 
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,SRP-dependent cotranslational protein targeting to membrane, 
REACTOME_STABILIZATION_OF_P53,Stabilization of p53, 
REACTOME_STAT3_NUCLEAR_EVENTS_DOWNSTREAM_OF_ALK_SIGNALING,STAT3 nuclear events downstream of ALK signaling, 
REACTOME_STAT5_ACTIVATION,STAT5 Activation, 
REACTOME_STAT5_ACTIVATION_DOWNSTREAM_OF_FLT3_ITD_MUTANTS,STAT5 activation downstream of FLT3 ITD mutants, 
REACTOME_STIMULI_SENSING_CHANNELS,Stimuli-sensing channels, 
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES,STING mediated induction of host immune responses, 
REACTOME_STRIATED_MUSCLE_CONTRACTION,Striated Muscle Contraction, 
REACTOME_SULFIDE_OXIDATION_TO_SULFATE,Sulfide oxidation to sulfate, 
REACTOME_SULFUR_AMINO_ACID_METABOLISM,Sulfur amino acid metabolism, 
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1,SUMO is conjugated to E1 (UBA2:SAE1), 
REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED,SUMO is proteolytically processed, 
REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9,"SUMO is transferred from E1 to E2 (UBE2I, UBC9)", 
REACTOME_SUMOYLATION,SUMOylation, 
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,SUMOylation of chromatin organization proteins, 
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS,SUMOylation of DNA damage response and repair proteins, 
REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS,SUMOylation of DNA methylation proteins, 
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS,SUMOylation of DNA replication proteins, 
REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS,SUMOylation of immune response proteins, 
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,SUMOylation of intracellular receptors, 
REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS,SUMOylation of RNA binding proteins, 
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS,SUMOylation of SUMOylation proteins, 
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS,SUMOylation of transcription cofactors, 
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,SUMOylation of transcription factors, 
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS,SUMOylation of ubiquitinylation proteins, 
REACTOME_SUPPRESSION_OF_APOPTOSIS,Suppression of apoptosis, 
REACTOME_SUPPRESSION_OF_PHAGOSOMAL_MATURATION,Suppression of phagosomal maturation, 
REACTOME_SURFACTANT_METABOLISM,Surfactant metabolism, 
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,Switching of origins to a post-replicative state, 
REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES,Synaptic adhesion-like molecules, 
REACTOME_SYNDECAN_INTERACTIONS,Syndecan interactions, 
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES,Synthesis of 12-eicosatetraenoic acid derivatives, 
REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES,Synthesis of 15-eicosatetraenoic acid derivatives, 
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE), 
REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS,Synthesis of 5-eicosatetraenoic acids, 
REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,Synthesis of active ubiquitin: roles of E1 and E2 enzymes, 
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,Synthesis of bile acids and bile salts, 
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,Synthesis of bile acids and bile salts via 24-hydroxycholesterol, 
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,Synthesis of bile acids and bile salts via 27-hydroxycholesterol, 
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol, 
REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,Synthesis of diphthamide-EEF2, 
REACTOME_SYNTHESIS_OF_DNA,Synthesis of DNA, 
REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE,Synthesis of Dolichyl-phosphate, 
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET), 
REACTOME_SYNTHESIS_OF_GDP_MANNOSE,Synthesis of GDP-mannose, 
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,Synthesis of glycosylphosphatidylinositol (GPI), 
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL,"Synthesis of IP2, IP, and Ins in the cytosol", 
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,Synthesis of IP3 and IP4 in the cytosol, 
REACTOME_SYNTHESIS_OF_KETONE_BODIES,Synthesis of Ketone Bodies, 
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX,Synthesis of Leukotrienes (LT) and Eoxins (EX), 
REACTOME_SYNTHESIS_OF_LIPOXINS_LX,Synthesis of Lipoxins (LX), 
REACTOME_SYNTHESIS_OF_PA,Synthesis of PA, 
REACTOME_SYNTHESIS_OF_PC,Synthesis of PC, 
REACTOME_SYNTHESIS_OF_PE,Synthesis of PE, 
REACTOME_SYNTHESIS_OF_PG,Synthesis of PG, 
REACTOME_SYNTHESIS_OF_PI,Synthesis of PI, 
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,Synthesis of PIPs at the early endosome membrane, 
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE,Synthesis of PIPs at the ER membrane, 
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,Synthesis of PIPs at the Golgi membrane, 
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE,Synthesis of PIPs at the late endosome membrane, 
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,Synthesis of PIPs at the plasma membrane, 
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,Synthesis of Prostaglandins (PG) and Thromboxanes (TX), 
REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL,Synthesis of pyrophosphates in the cytosol, 
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,Synthesis of substrates in N-glycan biosythesis, 
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE,Synthesis of UDP-N-acetyl-glucosamine, 
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,Synthesis of very long-chain fatty acyl-CoAs, 
REACTOME_SYNTHESIS_OF_WYBUTOSINE_AT_G37_OF_TRNA_PHE,Synthesis of wybutosine at G37 of tRNA(Phe), 
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,"Synthesis, secretion, and deacylation of Ghrelin", 
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)", 
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)", 
REACTOME_TACHYKININ_RECEPTORS_BIND_TACHYKININS,Tachykinin receptors bind tachykinins, 
REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION,TAK1-dependent IKK and NF-kappa-B activation, 
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS,Tandem pore domain potassium channels, 
REACTOME_TBC_RABGAPS,TBC/RABGAPs, 
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,TCF dependent signaling in response to WNT, 
REACTOME_TCR_SIGNALING,TCR signaling, 
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS,Telomere C-strand (Lagging Strand) Synthesis, 
REACTOME_TELOMERE_C_STRAND_SYNTHESIS_INITIATION,Telomere C-strand synthesis initiation, 
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE,Telomere Extension By Telomerase, 
REACTOME_TELOMERE_MAINTENANCE,Telomere Maintenance, 
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT,Terminal pathway of complement, 
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,Termination of O-glycan biosynthesis, 
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,Termination of translesion DNA synthesis, 
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation", 
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_FACTORS,TFAP2 (AP-2) family regulates transcription of cell cycle factors, 
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors, 
REACTOME_TFAP2A_ACTS_AS_A_TRANSCRIPTIONAL_REPRESSOR_DURING_RETINOIC_ACID_INDUCED_CELL_DIFFERENTIATION,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation, 
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,TGF-beta receptor signaling activates SMADs, 
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition), 
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES,The activation of arylsulfatases, 
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION,The canonical retinoid cycle in rods (twilight vision), 
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,The citric acid (TCA) cycle and respiratory electron transport, 
REACTOME_THE_FATTY_ACID_CYCLING_MODEL,The fatty acid cycling model, 
REACTOME_THE_NLRP3_INFLAMMASOME,The NLRP3 inflammasome, 
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE,The phototransduction cascade, 
REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION,The retinoid cycle in cones (daylight vision), 
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,The role of GTSE1 in G2/M progression after G2 checkpoint, 
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,The role of Nef in HIV-1 replication and disease pathogenesis, 
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,Thrombin signalling through proteinase activated receptors (PARs), 
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR,Thromboxane signalling through TP receptor, 
REACTOME_THYROXINE_BIOSYNTHESIS,Thyroxine biosynthesis, 
REACTOME_TICAM1_DEPENDENT_ACTIVATION_OF_IRF3_IRF7,TICAM1-dependent activation of IRF3/IRF7, 
REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT,"TICAM1, RIP1-mediated IKK complex recruitment", 
REACTOME_TICAM1_TRAF6_DEPENDENT_INDUCTION_OF_TAK1_COMPLEX,"TICAM1,TRAF6-dependent induction of TAK1 complex", 
REACTOME_TIE2_SIGNALING,Tie2 Signaling, 
REACTOME_TIGHT_JUNCTION_INTERACTIONS,Tight junction interactions, 
REACTOME_TLR3_MEDIATED_TICAM1_DEPENDENT_PROGRAMMED_CELL_DEATH,TLR3-mediated TICAM1-dependent programmed cell death, 
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway, 
REACTOME_TNF_SIGNALING,TNF signaling, 
REACTOME_TNFR1_INDUCED_NFKAPPAB_SIGNALING_PATHWAY,TNFR1-induced NFkappaB signaling pathway, 
REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING,TNFR1-induced proapoptotic signaling, 
REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION,TNFR1-mediated ceramide production, 
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,TNFR2 non-canonical NF-kB pathway, 
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS,TNFs bind their physiological receptors, 
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,Toll Like Receptor 9 (TLR9) Cascade, 
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,Toll-like Receptor Cascades, 
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,Toll Like Receptor TLR1:TLR2 Cascade, 
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD,Toxicity of botulinum toxin type D (botD), 
REACTOME_TP53_REGULATES_METABOLIC_GENES,TP53 Regulates Metabolic Genes, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES,TP53 Regulates Transcription of Caspase Activators and Caspases, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES,TP53 Regulates Transcription of Cell Cycle Genes, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,TP53 Regulates Transcription of Cell Death Genes, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS,TP53 Regulates Transcription of Death Receptors and Ligands, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES,TP53 Regulates Transcription of DNA Repair Genes, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G1_CELL_CYCLE_ARREST,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest, 
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53_DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain, 
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,TRAF3-dependent IRF activation pathway, 
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX,TRAF6-mediated induction of TAK1 complex within TLR4 complex, 
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,TRAF6 mediated IRF7 activation, 
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling, 
REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION,TRAF6 mediated NF-kB activation, 
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,Trafficking and processing of endosomal TLR, 
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS,Trafficking of AMPA receptors, 
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,Trafficking of GluR2-containing AMPA receptors, 
REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM,Trafficking of myristoylated proteins to the cilium, 
REACTOME_TRAIL_SIGNALING,TRAIL  signaling, 
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,trans-Golgi Network Vesicle Budding, 
REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER,Transcription-Coupled Nucleotide Excision Repair (TC-NER), 
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,Transcription of E2F targets under negative control by DREAM complex, 
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1, 
